# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi                   5:dens[1]-dens[1]        6:dens[1]-dens[2]        7:dens[1]-dens[3]        8:dens[1]-dens[4]        9:dens[2]-dens[2]       10:dens[2]-dens[3]       11:dens[2]-dens[4]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[4]-dens[4]       15:phi-dens[1]           16:phi-dens[2]           17:phi-dens[3]           18:phi-dens[4]           19:lens[1]-lens[1]       20:lens[1]-lens[2]       21:lens[1]-lens[3]       22:lens[1]-lens[4]       23:lens[2]-lens[2]       24:lens[2]-lens[3]       25:lens[2]-lens[4]       26:lens[3]-lens[3]       27:lens[3]-lens[4]       28:lens[4]-lens[4]       29:dens[1]-lens[1]       30:dens[1]-lens[2]       31:dens[1]-lens[3]       32:dens[1]-lens[4]       33:dens[2]-lens[1]       34:dens[2]-lens[2]       35:dens[2]-lens[3]       36:dens[2]-lens[4]       37:dens[3]-lens[1]       38:dens[3]-lens[2]       39:dens[3]-lens[3]       40:dens[3]-lens[4]       41:dens[4]-lens[1]       42:dens[4]-lens[2]       43:dens[4]-lens[3]       44:dens[4]-lens[4]    
   12       1.129079657611e-10       7.739764218417e-10       7.000217022082e-11       3.316239599843e-06      -2.600127079646e-06       9.514516417055e-07       9.667985227379e-07       1.034586707059e-05      -2.054226834120e-06       3.545569675695e-06       1.264402278904e-05       1.236873644573e-06       8.780000447613e-06      -9.081975560546e-09      -2.753498669119e-08      -3.935503373086e-08      -5.253403744300e-08       3.453333259372e-11       5.419660772349e-11       6.073325193112e-11       6.504428769806e-11       1.033257800439e-10       1.254397384475e-10       1.404356426235e-10       1.618831349924e-10       1.890889052986e-10       2.309824484751e-10      -2.874303901943e-09      -3.295481184571e-09      -4.799679797356e-09      -6.100004855941e-09      -8.653044941869e-09      -1.669723918535e-08      -1.833227821247e-08      -2.069645171201e-08      -9.501203671974e-09      -1.992453295890e-08      -2.605085272368e-08      -2.900215899215e-08      -1.016604107984e-08      -2.199182984307e-08      -2.985507095984e-08      -3.654228212213e-08 
   13       1.134968067291e-10       6.821867805299e-10       6.248608757869e-11       3.371096356177e-06      -2.591803144962e-06       9.478443151231e-07       9.909341261920e-07       1.085996699144e-05      -1.856230582190e-06       3.992328584441e-06       1.362973356864e-05       1.692719426953e-06       9.874931736037e-06      -7.985076182776e-09      -2.688848564722e-08      -3.895085200995e-08      -5.254581486305e-08       2.779454735937e-11       4.402039002035e-11       4.943265784335e-11       5.300108233089e-11       8.543418253332e-11       1.042988803531e-10       1.170743217331e-10       1.358149510781e-10       1.593747308994e-10       1.960630944434e-10      -2.587404486737e-09      -2.905251229779e-09      -4.241922483304e-09      -5.380471428586e-09      -8.181204933764e-09      -1.606616271220e-08      -1.780460264349e-08      -2.019507491118e-08      -9.018346891752e-09      -1.929228704789e-08      -2.545791310069e-08      -2.851111277007e-08      -9.661978850999e-09      -2.137714227807e-08      -2.932203302304e-08      -3.614976906149e-08 
   14       1.143058338711e-10       6.058195146427e-10       5.596895381239e-11       3.404890802241e-06      -2.578536948981e-06       9.286320279149e-07       9.962766886060e-07       1.133185616118e-05      -1.618858285451e-06       4.441058048025e-06       1.457347102939e-05       2.193181918167e-06       1.099148597480e-05      -6.969338318375e-09      -2.621960839342e-08      -3.847194424357e-08      -5.242969626091e-08       2.266202900514e-11       3.618267871022e-11       4.070755006491e-11       4.369025589934e-11       7.137629703116e-11       8.759335516668e-11       9.856443276301e-11       1.150395781454e-10       1.355901380516e-10       1.679362862012e-10      -2.320427093433e-09      -2.529457285845e-09      -3.707901511900e-09      -4.700980952583e-09      -7.744093482860e-09      -1.545092837299e-08      -1.727500301855e-08      -1.967514818572e-08      -8.566225008689e-09      -1.866557150940e-08      -2.484460887199e-08      -2.798379115928e-08      -9.188084976765e-09      -2.075694127672e-08      -2.875427797704e-08      -3.569477139960e-08 
   15       1.153437362599e-10       5.415430523810e-10       5.052311603327e-11       3.419733137720e-06      -2.563915154764e-06       8.945544723939e-07       9.822706860660e-07       1.176547397496e-05      -1.348357177194e-06       4.891097804491e-06       1.547775633348e-05       2.732815990768e-06       1.212548067486e-05      -6.030051375083e-09      -2.553856104334e-08      -3.793462913156e-08      -5.220696747686e-08       1.869059280324e-11       3.005606806835e-11       3.387166892960e-11       3.638644368540e-11       6.017974988249e-11       7.421528597614e-11       8.370295984396e-11       9.826433132781e-11       1.163037909568e-10       1.449894571597e-10      -2.073242443109e-09      -2.171451682249e-09      -3.201291022997e-09      -4.063179002934e-09      -7.339468280925e-09      -1.485537063978e-08      -1.674892409224e-08      -1.914540965459e-08      -8.143848236729e-09      -1.804967616559e-08      -2.422050006226e-08      -2.743090890055e-08      -8.743849432474e-09      -2.013830948373e-08      -2.816280985216e-08      -3.519156620197e-08 
   16       1.165784691620e-10       4.868970786283e-10       4.591565727986e-11       3.420505764676e-06      -2.550245043799e-06       8.464794696282e-07       9.491937599782e-07       1.216411172631e-05      -1.050093697566e-06       5.341921925912e-06       1.634505114157e-05       3.306484847968e-06       1.327308116508e-05      -5.164129746490e-09      -2.485329904268e-08      -3.735207870542e-08      -5.189511119962e-08       1.557419372854e-11       2.520401486383e-11       2.844642774727e-11       3.058317881617e-11       5.115544969834e-11       6.337606058781e-11       7.163183716768e-11       8.456329102303e-11       1.004872035717e-10       1.260587930936e-10      -1.846811869752e-09      -1.834760060755e-09      -2.725627657488e-09      -3.468886124817e-09      -6.965009495815e-09      -1.428190649704e-08      -1.623045978717e-08      -1.861266236724e-08      -7.749766590292e-09      -1.744823765887e-08      -2.359279500810e-08      -2.686087176968e-08      -8.328124540168e-09      -1.952640502677e-08      -2.755612392633e-08      -3.465149691412e-08 
   17       1.179136572808e-10       4.400212765710e-10       4.194259030207e-11       3.408359569457e-06      -2.539391601557e-06       7.848683585645e-07       8.971758468943e-07       1.253059935489e-05      -7.284804823883e-07       5.793038543088e-06       1.717756805304e-05       3.909440615970e-06       1.443081083277e-05      -4.366834988283e-09      -2.417004756380e-08      -3.673502027441e-08      -5.150866378779e-08       1.309787967343e-11       2.131634071761e-11       2.409100322171e-11       2.591934635269e-11       4.380497633045e-11       5.450277884151e-11       6.172645279990e-11       7.325967373063e-11       8.738628055817e-11       1.102872930227e-10      -1.640143264461e-09      -1.520194434476e-09      -2.281518234931e-09      -2.917249738458e-09      -6.618440780752e-09      -1.373196475106e-08      -1.572268863183e-08      -1.808220397438e-08      -7.382288800061e-09      -1.686370756377e-08      -2.296694691530e-08      -2.628032597526e-08      -7.939432734204e-09      -1.892499814533e-08      -2.694086336142e-08      -3.408369518078e-08 
   18       1.193641236171e-10       3.993360874479e-10       3.840419977270e-11       3.379555295156e-06      -2.525894330690e-06       7.092556068102e-07       8.257592302316e-07       1.284745243856e-05      -3.749149998999e-07       6.244457192772e-06       1.795878794186e-05       4.545398966639e-06       1.558827677407e-05      -3.629154210308e-09      -2.349074820645e-08      -3.609131610003e-08      -5.105888810741e-08       1.109776308649e-11       1.815341434368e-11       2.054140712370e-11       2.211484960293e-11       3.773438829457e-11       4.713998961242e-11       5.348895103044e-11       6.381046361931e-11       7.639328344382e-11       9.697947178024e-11      -1.449462960078e-09      -1.225175319082e-09      -1.865520028745e-09      -2.403231825188e-09      -6.296714289491e-09      -1.320482330300e-08      -1.522686096811e-08      -1.755649526973e-08      -7.038901823128e-09      -1.629636403144e-08      -2.234540050378e-08      -2.569373390310e-08      -7.575415659111e-09      -1.833545905685e-08      -2.632054205325e-08      -3.349349285263e-08 
   19       1.209376262609e-10       3.641986300884e-10       3.527511367799e-11       3.358794117586e-06      -2.534076772308e-06       6.198179403698e-07       7.355995149629e-07       1.317701841982e-05      -2.942195921007e-08       6.694594884856e-06       1.874650701164e-05       5.187037599505e-06       1.676493548400e-05      -2.952238556001e-09      -2.282775608662e-08      -3.543173412049e-08      -5.056007507956e-08       9.491986678355e-12       1.559556061754e-11       1.766572659058e-11       1.902968553225e-11       3.274991694057e-11       4.106472979585e-11       4.667595547865e-11       5.595358603807e-11       6.721652852033e-11       8.580607632787e-11      -1.274328784480e-09      -9.499921666302e-10      -1.479014748863e-09      -1.928169687639e-09      -6.000252831783e-09      -1.270480786360e-08      -1.474752077672e-08      -1.704336286568e-08      -6.720628074233e-09      -1.575183273385e-08      -2.173705190834e-08      -2.510852527404e-08      -7.237292552536e-09      -1.776473651736e-08      -2.570539654904e-08      -3.289417641261e-08 
   20       1.225717750622e-10       3.332513194522e-10       3.251360710475e-11       3.361798766656e-06      -2.579215725210e-06       5.167502506786e-07       6.274942328716e-07       1.355999656947e-05       2.815580565537e-07       7.142365226938e-06       1.957887469504e-05       5.815607329860e-06       1.797310334615e-05      -2.328397445751e-09      -2.217813522384e-08      -3.475040713370e-08      -5.000681192310e-08       8.166673658068e-12       1.347214198151e-11       1.527484737756e-11       1.646253718272e-11       2.855940532920e-11       3.593486966289e-11       4.091094565672e-11       4.927407404489e-11       5.938672014212e-11       7.622281588663e-11      -1.112565635548e-09      -6.924928663265e-10      -1.119193324546e-09      -1.487823516446e-09      -5.723710349159e-09      -1.222634219745e-08      -1.427961925905e-08      -1.653965676227e-08      -6.422288848502e-09      -1.522465169815e-08      -2.113735719345e-08      -2.451899968787e-08      -6.919712802205e-09      -1.720793083161e-08      -2.509109414421e-08      -3.228234905732e-08 
   21       1.242799390394e-10       3.060079028983e-10       3.007713111531e-11       3.288868091222e-06      -2.557384016397e-06       4.000596715205e-07       5.000464696950e-07       1.372260880165e-05       7.259143650786e-07       7.592617358646e-06       2.019884027909e-05       6.537579042520e-06       1.910747645244e-05      -1.749142052234e-09      -2.153794970605e-08      -3.407925608119e-08      -4.943990470189e-08       7.072980091574e-12       1.171096419505e-11       1.328968972114e-11       1.432978171451e-11       2.503900015671e-11       3.160807197900e-11       3.603994069299e-11       4.359980107958e-11       5.271316265012e-11       6.801013263731e-11      -9.647735441096e-10      -4.549102983114e-10      -7.842607499862e-10      -1.078372530151e-09      -5.468435652482e-09      -1.177346657075e-08      -1.383402924083e-08      -1.605034535907e-08      -6.145678521043e-09      -1.472120363125e-08      -2.055403600904e-08      -2.394728800255e-08      -6.625011588657e-09      -1.667224191586e-08      -2.448774153520e-08      -3.166896963929e-08 
   22       1.260655543856e-10       2.818174065744e-10       2.788202031356e-11       3.086247196587e-06      -2.412104939894e-06       2.694739408593e-07       3.524714793258e-07       1.351613106145e-05       1.394731800794e-06       8.047841603257e-06       2.046660224427e-05       7.410083484892e-06       2.010996165530e-05      -1.205005275054e-09      -2.090112244318e-08      -3.343155442888e-08      -4.887726241651e-08       6.159985447400e-12       1.023472222951e-11       1.162471584043e-11       1.254045242627e-11       2.205117870911e-11       2.792312280973e-11       3.188614024387e-11       3.873233632060e-11       4.697183964496e-11       6.090590568136e-11      -8.295008018090e-10      -2.363906157212e-10      -4.705079956111e-10      -6.943529780649e-10      -5.232715728019e-09      -1.134496404828e-08      -1.341362548603e-08      -1.557509922010e-08      -5.889186718862e-09      -1.424134078123e-08      -1.998744505563e-08      -2.340173455169e-08      -6.351745560218e-09      -1.615794522345e-08      -2.389690544573e-08      -3.105593499692e-08 
   23       1.279161783714e-10       2.603474484761e-10       2.589277720710e-11       3.212642347193e-06      -2.616655242170e-06       1.247870085936e-07       1.924257301589e-07       1.418382942402e-05       1.521345442208e-06       8.484172345704e-06       2.154578546376e-05       7.939066435093e-06       2.144195231977e-05      -7.222075224371e-10      -2.031566997248e-08      -3.271469347821e-08      -4.820495488675e-08       5.395280290540e-12       8.990718889650e-12       1.021783785037e-11       1.102624953833e-11       1.951321918818e-11       2.477622171835e-11       2.832666749598e-11       3.455440440015e-11       4.202066310086e-11       5.475289558650e-11      -6.993208319720e-10      -2.390328257109e-11      -1.822094398159e-10      -3.467267676501e-10      -5.008977806070e-09      -1.093331854589e-08      -1.298661983845e-08      -1.511481136860e-08      -5.644704937354e-09      -1.377249216853e-08      -1.943031625990e-08      -2.281649100752e-08      -6.090031819706e-09      -1.565351607618e-08      -2.330687859535e-08      -3.043856533627e-08 
   24       1.297967491721e-10       2.411016622413e-10       2.407135105512e-11       4.129380259051e-06      -3.646722614198e-06      -3.305199178740e-08       2.909957618843e-08       1.700252333647e-05       3.054201066565e-07       8.873617344016e-06       2.465024605201e-05       7.616260878867e-06       2.358025873986e-05      -3.270958828387e-10      -1.981308012574e-08      -3.183657213742e-08      -4.730200716449e-08       4.741489767096e-12       7.917893987413e-12       8.997434980775e-12       9.708569977211e-12       1.732451714204e-11       2.204115102110e-11       2.521314612960e-11       3.091868516670e-11       3.768170599849e-11       4.934910318925e-11      -5.662537354557e-10       1.956669167035e-10       7.627588053735e-11      -4.655413585317e-11      -4.787591301197e-09      -1.052627564335e-08      -1.251436592843e-08      -1.466080550814e-08      -5.401937425300e-09      -1.329779598839e-08      -1.887139782410e-08      -2.212331402331e-08      -5.827630239132e-09      -1.514274522008e-08      -2.269999712744e-08      -2.980548129353e-08 
   25       1.317256000128e-10       2.238536466456e-10       2.242932502784e-11       5.095867373209e-06      -4.734270676722e-06      -1.969176054180e-07      -1.408311976300e-07       2.010554755152e-05      -1.177084870438e-06       9.231546519861e-06       2.813689181050e-05       7.174097449969e-06       2.583982062918e-05       1.427152738085e-11      -1.925969823484e-08      -3.101063629241e-08      -4.639032298223e-08       4.185697813429e-12       7.001607425304e-12       7.952906557215e-12       8.579506922109e-12       1.544275107272e-11       1.967890345906e-11       2.251647560650e-11       2.776328423479e-11       3.390047131051e-11       4.461999484123e-11      -4.410954374761e-10       3.977653754637e-10       3.062055422782e-10       2.173754697342e-10      -4.579024176553e-09      -1.013189389744e-08      -1.203668210608e-08      -1.418759598328e-08      -5.172852424673e-09      -1.284117818966e-08      -1.833712207683e-08      -2.145941311512e-08      -5.579458265117e-09      -1.464917373889e-08      -2.210426204952e-08      -2.917791435994e-08 
   26       1.337177360771e-10       2.082911992688e-10       2.097345680007e-11       5.120387452987e-06      -4.852223648039e-06      -3.615286710234e-07      -3.273081063515e-07       2.094911005306e-05      -1.430888257677e-06       9.588965348102e-06       2.972424845373e-05       7.620440469335e-06       2.727629509191e-05       3.580841874478e-10      -1.850203471821e-08      -3.049758607714e-08      -4.575078202072e-08       3.714973107304e-12       6.228582513588e-12       7.077003527521e-12       7.635826977866e-12       1.382068382233e-11       1.764764616498e-11       2.020881751321e-11       2.501621556926e-11       3.061539376278e-11       4.047685492194e-11      -3.379828101837e-10       5.529519516509e-10       5.151264676477e-10       4.674231291265e-10      -4.396566663749e-09      -9.762178232813e-09      -1.161218191125e-08      -1.367213262566e-08      -4.972470865286e-09      -1.243192046019e-08      -1.785655300754e-08      -2.099622610345e-08      -5.364426685492e-09      -1.420118446911e-08      -2.155287928584e-08      -2.857839425073e-08 
   27       1.357539921644e-10       1.942277860288e-10       1.967174449657e-11       4.600912207840e-06      -4.415647225497e-06      -5.441953911375e-07      -5.459760661662e-07       2.049420510126e-05      -9.648012241754e-07       9.962576843963e-06       3.018384311636e-05       8.619124982620e-06       2.819415684308e-05       7.236131735862e-10      -1.768838289767e-08      -3.015471411988e-08      -4.525180649638e-08       3.314508859191e-12       5.572919461018e-12       6.337880591954e-12       6.841748840511e-12       1.241849273428e-11       1.589443638502e-11       1.822456690215e-11       2.261855636071e-11       2.775146563640e-11       3.683686027702e-11      -2.508994181617e-10       6.845309371807e-10       7.213761132931e-10       7.222070277445e-10      -4.234621555715e-09      -9.424659330455e-09      -1.124340143583e-08      -1.316694423247e-08      -4.794225736821e-09      -1.205938126760e-08      -1.741619156457e-08      -2.065168961475e-08      -5.174597679070e-09      -1.378883847878e-08      -2.103610544125e-08      -2.800066301456e-08 
